epoch,loss,val_loss
0,2.64171987417,2.90366962978
1,2.37869521763,2.15968002592
2,2.43909097949,2.30194153105
3,2.35593115006,2.2451879297
4,2.50774384964,2.30859627042
5,2.35690527377,2.43430546352
6,2.94849948088,2.25692803519
7,2.43268107091,2.20180170877
8,2.70203238207,2.2948014055
9,1.94590738132,2.00836392811
10,2.9819243309,2.00468570845
11,2.35773819167,2.39316143308
12,2.91803443432,2.10864656312
13,2.23768245819,2.20690073286
14,2.36687802426,2.11155492919
15,2.1297898846,1.70274794102
16,2.98617165004,2.43850193705
17,3.29722056182,2.57732238088
18,2.45382520415,2.11312488147
19,2.98470101257,2.42979502678
0,6.57153404737,4.05025529861
1,3.0714213446,2.47419881821
0,2.45136578431,1.79050469398
0,10.3729984991,3.33184218407
1,3.17918743207,1.96594381332
2,2.27077203457,1.83224225044
0,2.14859220817,1.60047125816
1,1.58708608453,1.01795578003
2,1.23121910288,0.978729128838
3,1.3576078071,1.23029637337
0,9.75880436603,3.14894318581
1,3.08001184411,2.35148644447
2,3.05106995487,3.224391222
3,2.93365256119,2.43513131142
4,2.69042983905,1.83772861958
5,2.37438448559,1.72087681293
6,2.68390497086,2.3777050972
7,2.35453532514,2.23011779785
8,2.34006390884,1.74584901333
9,2.22290165771,1.86343073845
0,2.23111135431,1.7304046154
1,2.09885311803,3.53386664391
2,1.96424674051,2.7777121067
3,2.09026179886,1.52866864204
4,1.92342744541,1.65733540058
5,1.88676880394,1.27862608433
6,1.9229778419,1.49912583828
7,1.99492973354,1.86297941208
8,1.81119228549,3.04716348648
9,1.8534601652,1.59515142441
0,9.05067386766,2.9040453434
1,3.10369855967,2.06461787224
2,2.7910386597,1.56237542629
3,2.62342052269,1.31683588028
4,2.49397941555,1.52714502811
5,2.34254504568,1.28135919571
6,2.36735159146,1.32946538925
7,2.4404642256,1.24632656574
8,2.19131868484,1.33357334137
9,2.74324671615,1.7420989275
0,2.38473775482,1.15937960148
1,2.18244507278,1.39227890968
2,2.29563273725,1.80354523659
3,2.00704995311,1.07586610317
4,2.12422719669,1.10984861851
5,2.00423031655,0.890316426754
6,1.97314833684,1.09235823154
7,1.955832929,1.55778992176
8,1.83361566427,4.22593736649
9,2.43977399497,3.32992315292
0,106.792744512,108.136932373
0,10.6159399728,3.21190977097
1,2.89967416503,1.86743617058
2,2.90768877411,2.08449697495
3,2.49166586945,1.80129277706
4,2.49021843902,1.48111569881
5,2.26569962753,1.33054149151
6,2.09847830174,1.32492852211
7,2.05336415143,0.945995092392
8,2.00364678851,1.6739563942
9,1.97566144779,1.47617423534
0,5.46374931162,3.30352497101
1,2.93251436546,2.02051377296
2,2.36694526976,1.58237361908
3,2.09030517821,1.38871228695
4,1.97057617534,1.39355170727
5,1.7698420059,1.10269653797
6,1.63141272926,1.22050333023
7,1.72225907638,0.8428388834
8,1.48291541902,0.69711369276
9,1.38927578029,0.664279222488
0,1.25484469369,0.778613388538
1,1.30532792459,0.610857546329
2,1.25252808725,0.757166802883
3,1.20225418679,0.659999370575
4,1.1507861572,0.557394981384
5,1.21802327652,1.1038736105
6,1.17922671044,0.664460361004
7,1.25686233459,1.13788950443
8,1.19461749012,0.561625659466
9,1.10556602923,0.613557457924
0,1.14078089346,0.503369688988
1,1.24966408717,0.574259877205
2,1.14312649864,0.459715992212
3,1.11294749698,0.50512444973
4,0.924023818219,0.548721790314
5,0.944594597627,0.567932844162
6,1.05877067744,0.634290218353
7,0.980631946225,0.746892750263
8,0.986850340143,0.876272141933
9,1.06550768423,0.701842367649
0,10.2255181917,6.69764566422
1,5.57796358322,5.06051969528
2,4.0334718649,3.91567587852
3,3.13292706531,2.62487268448
4,2.7208532124,2.27555799484
5,2.51070069082,1.89203667641
6,2.40885132551,1.62953650951
7,2.24316372264,1.61662733555
8,2.09883515573,1.43706977367
9,2.03066275579,1.40879917145
0,1.90618537185,1.48028433323
1,1.85403130514,1.2441726923
2,1.80038999275,1.13267862797
3,1.67372563167,1.35215866566
4,1.64914768353,0.977947592735
5,1.62861117591,1.06911683083
6,1.51847061588,1.01613271236
0,10.3643408258,7.03300952911
0,5.5018659394,4.95921421051
1,3.76894276631,3.84493350983
2,3.05624876371,3.02339053154
3,2.67169663032,2.1176276207
4,2.37486815961,1.79682099819
5,2.16395798159,1.67060649395
6,2.06366201363,1.33256399632
7,1.89528483708,1.31651246548
8,1.72769089806,1.19717514515
9,1.65381958766,1.17198967934
10,1.64638734881,1.07017445564
11,1.51556013015,0.966349959373
12,1.39838900944,0.932341098785
13,1.42677904767,0.890482485294
14,1.3358599947,1.06440210342
15,1.28118245535,0.846581399441
16,1.23588702919,0.811545848846
17,1.2876560899,1.09632050991
18,1.16967205449,0.791337013245
19,1.12396940682,0.744249165058
20,1.20719939216,0.696152925491
21,1.16020462898,0.775478124619
22,1.07940575226,0.868866384029
23,1.05316607589,0.689127743244
24,1.07999953846,0.798331916332
25,1.00234478749,0.765671133995
26,1.01461996901,0.806165337563
27,1.02236634086,0.925186097622
28,1.00438636323,0.679325997829
29,0.948151810939,0.64604049921
30,1.00467917796,0.719386041164
31,0.901583166967,0.698762953281
32,0.895872375587,0.684675097466
33,0.89388047168,0.631895840168
34,0.903227413209,0.931693255901
35,0.949727389753,0.581004083157
36,0.879296690589,0.595755636692
37,0.877637723588,0.588650286198
0,0.8591857497,0.705194413662
1,0.870128420068,0.795147776604
0,9.80123904967,6.89127826691
1,5.38624649728,5.34163331985
0,3.34920025245,2.99286842346
1,2.3663461647,1.52741229534
2,1.92909270266,1.39558088779
3,1.60326774933,1.04462385178
4,1.47237761746,1.04436409473
5,1.32133432567,0.770280241966
6,1.21294503873,0.816625595093
7,1.14645667225,0.717262923717
8,1.06680703978,0.708176195621
9,1.04566615007,0.745149791241
10,0.961422307367,0.623467981815
11,0.94829097018,0.591714322567
12,0.894805026428,0.677460849285
13,0.872209340946,0.583800911903
14,0.835682813095,0.573180258274
15,0.885250086826,0.520283579826
16,0.833529636818,0.497808158398
17,0.790234028464,0.488606542349
